149,"[-0.873192950029705, -13228.0, 15149.0, 0.8537433580075201, -0.753084950029705, -11408.483908, 15148.999999999998, 0.9081197528724382]"
150,"[-0.43621118863162545, -13136.936156830032, 30116.0, 0.8564648087909998, -0.2817297843179851, -8314.88270083003, 29513.68, 1.0005722909595054]"
151,"[-0.7739257045548424, -10050.973125053739, 12987.0, 0.94868907934964, -0.7739257045548424, -10050.973125053739, 12987.0, 0.94868907934964]"
152,"[-0.6934529371457049, -11132.0, 16053.0, 0.9163824982371568, -0.5033887113731682, -7919.2810039999995, 15731.939999999999, 1.012394881686041]"
153,"[-0.7489485881040254, -8726.0, 11651.0, 0.9882860151228942, -0.5088085881040255, -5928.12886, 11650.999999999998, 1.0719006347235207]"
154,"[-0.5203905005885204, -7516.0, 14443.0, 1.0244469691676747, -0.3063780618250208, -4336.51798, 14154.14, 1.1194660627308373]"
155,"[-0.7104546266523758, -31817.0, 44784.0, 0.2982094945873318, -0.5207496190330365, -22854.82592, 43888.32, 0.5660448376023769]"
156,"[-0.45746187363834423, -8399.0, 18360.0, 0.9980584382407812, -0.22637695170660857, -3990.0296, 17625.6, 1.1298208977607798]"
157,"[-0.7906088720503565, -26502.0, 33521.0, 0.45704872661047996, -0.5821110939289351, -19122.68706, 32850.58, 0.6775801283504761]"
158,"[-0.9150351019494868, -32715.25, 35753.0, 0.27136521609913, -0.9150351019494868, -32715.25, 35753.0, 0.27136521609913]"
159,"[-0.7795834648153992, -24705.0, 31690.0, 0.5107522261298774, -0.5708810865463256, -17729.3972, 31056.2, 0.7192187156219794]"
160,"[-0.7815264877565256, -21288.0, 27239.0, 0.6128695649488985, -0.5933372324046179, -15838.674616, 26694.22, 0.7757231226231801]"
161,"[-0.7239938420936881, -26336.0, 36376.0, 0.46200965088439205, -0.557355151163498, -19057.88992, 34193.44, 0.6795165964511151]"
162,"[-0.8865754394243246, -15031.0, 16954.0, 0.7998605479721982, -0.8865754394243246, -15031.0, 16954.0, 0.7998605479721982]"
163,"[-0.32485653201305276, -8661.0, 26661.0, 0.9902285457120766, -0.12726993062556405, -3325.280748, 26127.780000000002, 1.14968697436284]"
164,"[-0.8650552479879106, -38450.84071781464, 44449.0, 0.09995659430857985, -0.6580767836611333, -28665.837857814637, 43560.02, 0.39238224616685047]"
165,"[-0.7712095547070139, -26862.0, 34831.0, 0.44629009565500805, -0.5827321986806263, -19891.202308, 34134.380000000005, 0.6546129840813512]"
166,"[-0.672787979966611, -20553.0, 30549.0, 0.6348351031496537, -0.4924041457985532, -14440.756080000001, 29327.04, 0.8175000382749513]"
167,"[-0.693748084584738, -22637.0, 32630.0, 0.5725545839518662, -0.5038809410475935, -15455.136999999999, 30672.2, 0.787185177256751]"
168,"[-0.8372151828694738, -15130.99, 18073.0, 0.7968723382243159, -0.8172111828694738, -14769.457707999996, 18072.999999999996, 0.8076767618579658]"
169,"[-0.5916538658474142, -11555.0, 19530.0, 0.9037411068644772, -0.36616027692438985, -6865.0658, 18748.8, 1.0439001937068284]"
170,"[-0.569567370034186, -14494.92, 25449.0, 0.8158813448683354, -0.4105193000379845, -9402.5751, 22904.1, 0.9680665100824455]"
171,"[-0.7611481045217433, -31663.0, 41599.0, 0.3028117978293948, -0.5520490862466768, -22505.396139999997, 40767.02, 0.5764875766242429]"
172,"[-0.4332385972025137, -10685.83, 24665.0, 0.9297163270521648, -0.24220295136649284, -5257.0635, 21705.2, 1.0919554807103011]"
173,"[-0.7445618167764732, -20229.0, 27169.0, 0.6445178710095785, -0.5351243028331358, -14248.01634, 26625.620000000003, 0.8232600819780446]"
174,"[-0.695614732051429, -15898.970315767461, 22856.0, 0.7739211804509578, -0.4744528458869052, -10410.330475767461, 21941.760000000002, 0.9379496540233481]"
175,"[-0.6027099651249214, -10542.0, 17491.0, 0.9340146989697358, -0.3903979235968585, -6691.881079999999, 17141.18, 1.0490758339557362]"
176,"[-0.6709494862730847, -20308.97, 30269.0, 0.6421279606831642, -0.47962711305647304, -13646.7631, 28452.86, 0.8412285867556607]"
177,"[-0.7388845040778742, -22468.0, 30408.0, 0.5776051634837405, -0.5293311266100758, -15773.98288, 29799.84, 0.7776564407162158]"
178,"[-0.9395323941913863, -30279.25, 32228.0, 0.34416528556449005, -0.8194243941913865, -26408.409376, 32227.999999999996, 0.4598456904563365]"
179,"[-0.7772889302803558, -24204.0, 31139.0, 0.5257246542095758, -0.5685397247758732, -17349.68332, 30516.22, 0.730566497576397]"
180,"[-0.6649065891039266, -29718.0, 44695.0, 0.36093829007493067, -0.48350716206948546, -19881.524400000002, 41119.4, 0.6549022091941095]"
181,"[-0.9081496222132397, -29207.0, 32161.0, 0.37620956901450336, -0.7080096222132397, -22770.297459999998, 32160.999999999996, 0.5685709778978613]"
182,"[-0.9300201690023299, -26744.59, 28757.0, 0.4497989036007913, -0.9300201690023299, -26744.59, 28757.0, 0.4497989036007913]"
183,"[-0.7287147259653152, -24119.0, 33098.0, 0.5282648865185067, -0.5297861728805366, -16833.468240000002, 31774.08, 0.7459936296302009]"
184,"[-0.852480868921254, -17267.0, 20255.0, 0.7330374957043225, -0.852480868921254, -17267.0, 20255.0, 0.7330374957043225]"
185,"[-0.843868615284938, -16047.849456873664, 19017.0, 0.7694719145172654, -0.843868615284938, -16047.849456873664, 19017.0, 0.7694719145172654]"
186,"[-0.5217064504373178, -22905.0, 43904.0, 0.564545380907237, -0.35734050048590865, -14119.8096, 39513.6, 0.8270915514271117]"
187,"[-0.5606233224832455, -20392.673355328057, 36375.0, 0.6396264787117496, -0.391916654873093, -13115.490855328058, 33465.0, 0.8571057034704124]"
188,"[-0.5849745585154146, -9772.0, 16705.0, 0.9570262151800507, -0.3592026651202235, -5760.4613, 16036.8, 1.076911394171422]"
189,"[-0.4973134328358209, -10829.0, 21775.0, 0.9254376792913456, -0.33045149253731343, -6907.758, 20904.0, 1.0426243336388363]"
190,"[-0.3202651407852246, -5653.0, 17651.0, 1.0801228843622421, -0.13351682309469404, -2121.0349, 15885.9, 1.185675965080316]"
191,"[-0.5150339476236664, -15930.0, 30930.0, 0.7729938556695057, -0.3353340824678858, -8504.9442, 25362.6, 0.9948922867139126]"
